        Conventional  -->  x0: 8.25, top: 5.78, x1: 76.55, bottom: 17.48
               Fixed  -->  x0: 79.80, top: 5.78, x1: 108.41, bottom: 17.48
                Rate  -->  x0: 111.66, top: 5.78, x1: 136.37, bottom: 17.48
                 May  -->  x0: 62.46, top: 28.16, x1: 79.46, bottom: 37.16
                 24,  -->  x0: 81.96, top: 28.16, x1: 94.48, bottom: 37.16
                2025  -->  x0: 96.98, top: 28.16, x1: 117.00, bottom: 37.16
             10:10AM  -->  x0: 119.50, top: 28.16, x1: 155.52, bottom: 37.16
                 EDT  -->  x0: 158.02, top: 28.16, x1: 176.02, bottom: 37.16
                  30  -->  x0: 13.50, top: 48.49, x1: 25.51, bottom: 59.29
                Year  -->  x0: 28.32, top: 48.49, x1: 50.14, bottom: 59.29
               Fixed  -->  x0: 53.14, top: 48.49, x1: 79.55, bottom: 59.29
                 (As  -->  x0: 82.55, top: 48.49, x1: 98.75, bottom: 59.29
                 Low  -->  x0: 101.75, top: 48.49, x1: 121.56, bottom: 59.29
                  As  -->  x0: 123.97, top: 48.49, x1: 136.57, bottom: 59.29
             Rates)*  -->  x0: 139.57, top: 48.49, x1: 175.58, bottom: 59.29
                Rate  -->  x0: 25.71, top: 70.20, x1: 47.17, bottom: 80.10
              Points  -->  x0: 74.71, top: 70.20, x1: 104.96, bottom: 80.10
                 APR  -->  x0: 132.77, top: 70.20, x1: 153.68, bottom: 80.10
              Rebate  -->  x0: 179.67, top: 70.20, x1: 212.68, bottom: 80.10
              6.500%  -->  x0: 19.65, top: 87.45, x1: 53.23, bottom: 97.35
              0.250%  -->  x0: 73.04, top: 87.45, x1: 106.62, bottom: 97.35
              6.575%  -->  x0: 126.43, top: 87.45, x1: 160.01, bottom: 97.35
                  $0  -->  x0: 190.68, top: 87.45, x1: 201.69, bottom: 97.35
              6.625%  -->  x0: 19.65, top: 103.95, x1: 53.23, bottom: 113.85
              0.000%  -->  x0: 73.04, top: 103.95, x1: 106.62, bottom: 113.85
              6.676%  -->  x0: 126.43, top: 103.95, x1: 160.01, bottom: 113.85
                $375  -->  x0: 185.17, top: 103.95, x1: 207.19, bottom: 113.85
                  20  -->  x0: 13.50, top: 132.49, x1: 25.51, bottom: 143.29
                Year  -->  x0: 28.32, top: 132.49, x1: 50.14, bottom: 143.29
               Fixed  -->  x0: 53.14, top: 132.49, x1: 79.55, bottom: 143.29
                 (As  -->  x0: 82.55, top: 132.49, x1: 98.75, bottom: 143.29
                 Low  -->  x0: 101.75, top: 132.49, x1: 121.56, bottom: 143.29
                  As  -->  x0: 123.97, top: 132.49, x1: 136.57, bottom: 143.29
             Rates)*  -->  x0: 139.57, top: 132.49, x1: 175.58, bottom: 143.29
                Rate  -->  x0: 25.71, top: 154.20, x1: 47.17, bottom: 164.10
              Points  -->  x0: 74.71, top: 154.20, x1: 104.96, bottom: 164.10
                 APR  -->  x0: 132.77, top: 154.20, x1: 153.68, bottom: 164.10
              Rebate  -->  x0: 179.67, top: 154.20, x1: 212.68, bottom: 164.10
              6.250%  -->  x0: 19.65, top: 171.45, x1: 53.23, bottom: 181.35
              0.250%  -->  x0: 73.04, top: 171.45, x1: 106.62, bottom: 181.35
              6.348%  -->  x0: 126.43, top: 171.45, x1: 160.01, bottom: 181.35
                  $0  -->  x0: 190.68, top: 171.45, x1: 201.69, bottom: 181.35
              6.375%  -->  x0: 19.65, top: 187.20, x1: 53.23, bottom: 197.10
              0.000%  -->  x0: 73.04, top: 187.20, x1: 106.62, bottom: 197.10
              6.442%  -->  x0: 126.43, top: 187.20, x1: 160.01, bottom: 197.10
                $375  -->  x0: 185.17, top: 187.20, x1: 207.19, bottom: 197.10
                  15  -->  x0: 13.50, top: 216.49, x1: 25.51, bottom: 227.29
                Year  -->  x0: 28.32, top: 216.49, x1: 50.14, bottom: 227.29
               Fixed  -->  x0: 53.14, top: 216.49, x1: 79.55, bottom: 227.29
                 (As  -->  x0: 82.55, top: 216.49, x1: 98.75, bottom: 227.29
                 Low  -->  x0: 101.75, top: 216.49, x1: 121.56, bottom: 227.29
